id,item_name,water,calories,calcium,carbs,cholesterol,iron,fiber,monounsaturated_fats,polyunsaturated_fats,potassium,proteins,saturated_fats,sodium,sugar,trans_fats,fats,vit_a,vit_c,vit_d,ala,found,Unnamed: 22
41,apple liqueur,96.3088342,52.0,6.0,13.81,0.0,0.12,2.4,0.007,0.051,107.0,0.26,0.028,0.001,10.39,0.0,0.17,54.0,4.6,0.0,0.0,,
42,apple pie filling,75.6803,96.85904775,2.39615,24.87414832,0.0,0.03605,0.47495,0.0018,0.00965,20.27445,0.0543,0.00685,0.038289289330000004,21.41830505,0.0,0.03425,0.55935,0.89565,0.0,0.0,apple pie filling,
43,apple pie spice,16.3979628,248.5,501.0,90.295,0.0,4.16,51.55,0.0,0.0,215.5,1.995,0.1725,0.005,1.085,0.0,0.62,0.0,0.0,0.0,0.0,,
44,apple strawberry juice,86.4,50.63291139,0.0,12.65822785,0.0,0.0,1.265822785,0.0,0.0,56.96202532,0.0,0.0,0.003375527426,12.65822785,0.0,0.0,0.0,11.81434599,0.0,0.0,,
45,apple yogurt,85.1,99.0,138.0,18.64,0.0,0.06,0.0,0.316,0.033,177.0,3.98,0.742,0.053,18.64,0.0,1.15,40.0,0.6,0.3,0.0,,
46,applesauce,81.98,72.0,3.5,18.7,0.0,0.235,1.2,0.007,0.054,68.0,0.17,0.03,0.0025,15.585,0.0,0.175,5.5,1.7,0.0,0.0,,
47,apricot,86.35000000000001,48.0,13.0,11.12,0.0,0.39,2.0,0.17,0.077,259.0,1.4,0.027,0.001,9.24,0.0,0.39,1011.0,10.0,0.0,0.0,,
48,apricot jam,34.5,242.0,20.0,64.4,0.0,0.49,0.3,0.0,0.0,77.0,0.7,0.01,0.04,43.4,0.0,0.2,10.0,8.8,0.0,0.0,,
49,apricot nectar,84.00999999999999,56.0,7.0,14.39,0.0,0.38,0.6,0.038,0.017,114.0,0.37,0.006,0.003,13.515,0.0,0.09,691.0,9.1,0.0,0.0,,
50,apricot preserve,53.697632299999995,147.0588235,0.0,35.29411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176471,0.0,0.0,0.0,0.0,0.0,0.0,,
51,apricot yogurt,85.1,100.0,0.0,13.529,11.765,0.0,0.0,0.0,0.0,158.82,2.9412,20588.0,0.047059,11.765,0.0,3.5294,0.0,0.0,0.0,0.0,,
52,arborio rice,13.29,345.6666667,1.5,78.46388889,0.0,5.448333334,1.4,0.0,0.0,38.0,6.583333334,0.07,0.0005,0.0,0.0,0.26,0.0,0.0,0.0,0.0,,
53,arrowroot,80.75,65.0,6.0,13.39,0.0,2.22,1.3,0.004,0.092,454.0,4.24,0.039,0.026,0.0,0.0,0.2,10.0,1.9,0.0,0.0,,
57,arugula,91.71000000000001,24.26470588,168.2352941,3.589705882,0.0,1.318235294,1.388235294,0.0245,0.1595,366.8529412,2.466470588,0.043,0.02820588236,2.201470588,0.0,0.33,1235.970588,14.55882353,0.0,0.0,,
59,asiago cheese,29.160000000000004,374.5714286,949.1428572,3.395714286,78.64285715,0.41,0.0,7.328928572,0.2845,90.64285715,28.58928572,18.91928572,1.080857143,0.4,0.0,28.98642857,460.6428572,0.0,0.25,0.0388,,
